Symbol,Name,Weight,Chg,% Chg
PSA,Public Storage,0.08%,-8.83,(-3.09%)
EW,Edwards Lifesciences,0.08%,-1.58,(-1.87%)
CARR,Carrier Global,0.08%,0.4,(0.70%)
ETR,Entergy,0.08%,-1.81,(-1.71%)
F,Ford Motor Company,0.08%,-0.16,(-1.34%)
TER,Teradyne,0.08%,-0.86,(-0.29%)
DDOG,Datadog,0.08%,1.38,(1.07%)
IDXX,Idexx Laboratories,0.08%,-10.34,(-1.76%)
URI,United Rentals,0.08%,-19.87,(-2.67%)
BDX,Becton Dickinson,0.07%,-3.58,(-2.21%)
GRMN,Garmin,0.07%,-1.78,(-0.75%)
KR,Kroger,0.07%,-1.06,(-1.43%)
MET,MetLife,0.07%,-1.05,(-1.52%)
HSY,Hershey Company (The),0.07%,-2.59,(-1.19%)
YUM,Yum! Brands,0.07%,-6.04,(-3.69%)
CMG,Chipotle Mexican Grill,0.07%,-1.76,(-5.11%)
PEG,Public Service Enterprise Group,0.07%,-0.94,(-1.11%)
CVNA,Carvana Co.,0.07%,-23.19,(-7.37%)
DAL,Delta Air Lines,0.07%,-1.16,(-1.79%)
EBAY,eBay,0.07%,-1.3,(-1.39%)
VTR,Ventas,0.07%,-1.12,(-1.27%)
AXON,Axon Enterprise,0.07%,6.68,(1.32%)
ED,Consolidated Edison,0.07%,-1.43,(-1.24%)
PYPL,PayPal,0.07%,-1.63,(-3.54%)
MSCI,MSCI,0.07%,-2.97,(-0.53%)
WAB,Wabtec,0.07%,-0.48,(-0.20%)
PCG,PG&E Corporation,0.07%,-0.1,(-0.54%)
AMP,Ameriprise Financial,0.07%,0.21,(0.05%)
ROK,Rockwell Automation,0.07%,-2.33,(-0.65%)
AIG,American International Group,0.07%,-2.32,(-3.03%)
EQT,EQT Corporation,0.07%,-0.68,(-1.05%)
FITB,Fifth Third Bancorp,0.07%,-0.34,(-0.77%)
DHI,D. R. Horton,0.07%,-5.13,(-3.61%)
CBRE,CBRE Group,0.07%,-2.81,(-2.06%)
SYY,Sysco,0.07%,-2.66,(-3.15%)
TTWO,Take-Two Interactive,0.06%,-1.52,(-0.74%)
ODFL,Old Dominion,0.06%,-2.79,(-1.51%)
WEC,WEC Energy Group,0.06%,-1.44,(-1.23%)
NUE,Nucor,0.06%,0.63,(0.39%)
CCI,Crown Castle,0.06%,-3.05,(-3.46%)
KDP,Keurig Dr Pepper,0.06%,-0.42,(-1.52%)
HIG,Hartford (The),0.06%,-2.59,(-1.91%)
LYV,Live Nation Entertainment,0.06%,-0.01,(-0.01%)
TPL,Texas Pacific Land Corporation,0.06%,0.71,(0.13%)
LVS,Las Vegas Sands,0.06%,-0.28,(-0.52%)
ROP,Roper Technologies,0.06%,-1.82,(-0.52%)
MCHP,Microchip Technology,0.06%,0.22,(0.33%)
WDAY,"Workday, Inc.",0.06%,-3.16,(-2.34%)
XYZ,"Block, Inc.",0.06%,-1.96,(-3.29%)
ADM,Archer Daniels Midland,0.06%,-0.37,(-0.51%)
MLM,Martin Marietta Materials,0.06%,-14.65,(-2.52%)
NRG,NRG Energy,0.06%,4.25,(2.75%)
STT,State Street Corporation,0.06%,-0.46,(-0.38%)
VMC,Vulcan Materials Company,0.06%,-8.65,(-3.26%)
KVUE,Kenvue,0.06%,-0.28,(-1.58%)
CCL,Carnival,0.06%,-0.91,(-3.61%)
RMD,ResMed,0.06%,-3.91,(-1.68%)
ACGL,Arch Capital Group,0.06%,-1.54,(-1.63%)
EME,"EMCOR Group, Inc.",0.05%,10.67,(1.46%)
KMB,Kimberly-Clark,0.05%,-1.54,(-1.53%)
PAYX,Paychex,0.05%,-1.8,(-1.95%)
PRU,Prudential Financial,0.05%,-1.33,(-1.41%)
GEHC,GE HealthCare,0.05%,-1.74,(-2.41%)
CPRT,Copart,0.05%,-0.7,(-2.06%)
IR,Ingersoll Rand,0.05%,-2.19,(-2.60%)
IRM,Iron Mountain,0.05%,-0.53,(-0.50%)
A,Agilent Technologies,0.05%,-1.61,(-1.43%)
EL,Est̩e Lauder Companies (The),0.05%,-3.3,(-3.72%)
ATO,Atmos Energy,0.05%,-1.59,(-0.85%)
HBAN,Huntington Bancshares,0.05%,-0.29,(-1.88%)
IBKR,Interactive Brokers Group,0.05%,0.17,(0.25%)
AEE,Ameren,0.05%,-1.48,(-1.32%)
OTIS,Otis Worldwide,0.05%,-5.39,(-6.41%)
DTE,DTE Energy,0.05%,-2.27,(-1.52%)
FISV,"Fiserv, Inc.",0.05%,-1.16,(-2.00%)
HAL,Halliburton,0.05%,0.44,(1.22%)
CBOE,Cboe Global Markets,0.05%,-4.76,(-1.63%)
VICI,Vici Properties,0.05%,-0.48,(-1.69%)
DVN,Devon Energy,0.05%,0.8,(1.68%)
UAL,United Airlines Holdings,0.05%,-0.73,(-0.79%)
TDY,Teledyne Technologies,0.05%,-6.78,(-1.06%)
WAT,Waters Corporation,0.05%,2.98,(1.00%)
EXPE,Expedia Group,0.05%,-1.16,(-0.48%)
XYL,Xylem Inc.,0.05%,-1.16,(-0.95%)
CTSH,Cognizant,0.05%,-0.06,(-0.11%)
FE,FirstEnergy,0.05%,-0.55,(-1.07%)
MTB,M&T Bank,0.05%,-3.81,(-1.91%)
EXR,Extra Space Storage,0.05%,-1.37,(-0.99%)
FICO,Fair Isaac,0.05%,10.05,(0.84%)
PPL,PPL Corporation,0.05%,-0.32,(-0.83%)
DOV,Dover Corporation,0.05%,-1.62,(-0.76%)
HPE,Hewlett Packard Enterprise,0.05%,-0.12,(-0.54%)
TPR,"Tapestry, Inc.",0.05%,-2.85,(-1.99%)
CNP,CenterPoint Energy,0.05%,-0.44,(-1.02%)
VRSK,Verisk Analytics,0.05%,0.72,(0.35%)
RJF,Raymond James Financial,0.05%,-2.14,(-1.48%)
IQV,IQVIA,0.05%,-1.5,(-0.89%)
DG,Dollar General,0.05%,-4.24,(-3.23%)
EIX,Edison International,0.05%,-0.52,(-0.71%)
ES,Eversource Energy,0.05%,0.03,(0.04%)
DOW,Dow Inc.,0.05%,0.89,(2.41%)
WTW,Willis Towers Watson,0.05%,-2.51,(-0.87%)
JBL,Jabil,0.05%,-5.28,(-2.01%)
BIIB,Biogen,0.04%,-3.03,(-1.64%)
AWK,American Water Works,0.04%,-1.33,(-0.96%)
CHTR,Charter Communications,0.04%,-14.13,(-6.35%)
STZ,Constellation Brands,0.04%,-0.05,(-0.03%)
KHC,Kraft Heinz,0.04%,-0.77,(-3.36%)
DXCM,Dexcom,0.04%,0.03,(0.04%)
ROL,"Rollins, Inc.",0.04%,-2.14,(-3.82%)
CTRA,Coterra,0.04%,0.67,(2.03%)
FIS,Fidelity National Information Services,0.04%,-0.57,(-1.14%)
HUBB,Hubbell Incorporated,0.04%,6.2,(1.32%)
EXE,Expand Energy,0.04%,-1.01,(-0.95%)
NTRS,Northern Trust,0.04%,-1.92,(-1.40%)
WRB,W. R. Berkley Corporation,0.04%,-2.22,(-3.23%)
CINF,Cincinnati Financial,0.04%,-4.77,(-2.89%)
STLD,Steel Dynamics,0.04%,-1.94,(-1.12%)
TSCO,Tractor Supply,0.04%,-1.27,(-2.67%)
BG,Bunge Global,0.04%,-0.27,(-0.21%)
MTD,Mettler Toledo,0.04%,-13.71,(-1.14%)
ARES,Ares Management Corporation,0.04%,2.08,(1.97%)
LYB,LyondellBasell,0.04%,3.82,(5.37%)
CFG,Citizens Financial Group,0.04%,-0.32,(-0.56%)
ON,ON Semiconductor,0.04%,-0.1,(-0.16%)
Q,Qnity Electronics,0.04%,0.68,(0.60%)
CMS,CMS Energy,0.04%,-0.82,(-1.04%)
LEN,Lennar,0.04%,-1.45,(-1.50%)
OMC,Omnicom Group,0.04%,-2.23,(-2.84%)
DRI,Darden Restaurants,0.04%,-1.28,(-0.63%)
AVB,AvalonBay Communities,0.04%,-4.45,(-2.61%)
ULTA,Ulta Beauty,0.04%,0.37,(0.07%)
BRO,Brown & Brown,0.04%,-1.19,(-1.74%)
SYF,Synchrony Financial,0.04%,-0.2,(-0.31%)
PPG,PPG Industries,0.04%,-3.24,(-3.12%)
EQR,Equity Residential,0.04%,-1.4,(-2.29%)
PHM,PulteGroup,0.04%,-4.88,(-4.00%)
CHD,Church & Dwight,0.04%,-2.39,(-2.45%)
EFX,Equifax,0.04%,-1.75,(-0.93%)
NI,NiSource,0.04%,-0.63,(-1.34%)
VLTO,Veralto,0.04%,-1.01,(-1.11%)
WSM,Williams-Sonoma,0.04%,1.75,(0.96%)
LH,LabCorp,0.04%,-4.77,(-1.76%)
VRSN,Verisign,0.04%,-3.65,(-1.51%)
L,Loews Corporation,0.04%,-2.97,(-2.73%)
RF,Regions Financial Corporation,0.04%,-0.31,(-1.22%)
DGX,Quest Diagnostics,0.04%,-1.3,(-0.65%)
TSN,Tyson Foods,0.04%,-0.88,(-1.41%)
DLTR,Dollar Tree,0.04%,-4.45,(-3.98%)
STE,Steris,0.04%,-3.89,(-1.77%)
FSLR,First Solar,0.04%,-2.89,(-1.44%)
LDOS,Leidos,0.04%,-2.24,(-1.33%)
KEY,KeyCorp,0.03%,-0.1,(-0.50%)
MRNA,Moderna,0.03%,-1.6,(-2.98%)
RL,Ralph Lauren Corporation,0.03%,-8.46,(-2.42%)
BR,Broadridge Financial Solutions,0.03%,-3.72,(-2.09%)
HUM,Humana,0.03%,-1.27,(-0.74%)
CHRW,C.H. Robinson,0.03%,-1.08,(-0.63%)
SW,Smurfit WestRock,0.03%,-1.64,(-4.09%)
GIS,General Mills,0.03%,-1.0,(-2.57%)
NTAP,NetApp,0.03%,-1.13,(-1.10%)
LUV,Southwest Airlines,0.03%,-0.71,(-1.73%)
CF,CF Industries,0.03%,4.0,(3.25%)
GPN,Global Payments,0.03%,-2.59,(-3.57%)
ALB,Albemarle Corporation,0.03%,-0.51,(-0.30%)
CPAY,Corpay,0.03%,-12.02,(-4.03%)
LULU,Lululemon Athletica,0.03%,6.13,(3.85%)
SBAC,SBA Communications,0.03%,-4.06,(-2.17%)
EXPD,Expeditors International,0.03%,1.47,(1.03%)
TROW,T. Rowe Price,0.03%,-0.25,(-0.28%)
IP,International Paper,0.03%,-1.42,(-3.80%)
SNA,Snap-on,0.03%,-5.36,(-1.46%)
PFG,Principal Financial Group,0.03%,-1.06,(-1.20%)
EVRG,Evergy,0.03%,-1.59,(-1.92%)
JBHT,J.B. Hunt,0.03%,-2.45,(-1.22%)
PKG,Packaging Corporation of America,0.03%,-6.55,(-3.03%)
AMCR,Amcor,0.03%,-0.54,(-1.32%)
LNT,Alliant Energy,0.03%,-0.81,(-1.12%)
INCY,Incyte,0.03%,-1.78,(-1.88%)
SMCI,Supermicro,0.03%,-1.04,(-3.30%)
CSGP,CoStar Group,0.03%,-1.13,(-2.55%)
NVR,"NVR, Inc.",0.03%,-118.63,(-1.80%)
DD,DuPont,0.03%,-1.48,(-3.25%)
PTC,PTC Inc.,0.03%,-4.06,(-2.63%)
CNC,Centene Corporation,0.03%,0.93,(2.67%)
IFF,International Flavors & Fragrances,0.03%,-2.73,(-3.84%)
ZBH,Zimmer Biomet,0.03%,-3.41,(-3.68%)
WST,West Pharmaceutical Services,0.03%,-0.5,(-0.21%)
WY,Weyerhaeuser,0.03%,-0.48,(-1.99%)
FTV,Fortive,0.03%,-1.02,(-1.82%)
HII,Huntington Ingalls Industries,0.03%,5.56,(1.31%)
HOLX,Hologic,0.03%,-0.03,(-0.04%)
HPQ,HP Inc.,0.03%,-0.52,(-2.75%)
LII,Lennox International,0.03%,-9.19,(-1.89%)
PODD,Insulet Corporation,0.03%,-0.08,(-0.04%)
FFIV,"F5, Inc.",0.03%,-3.86,(-1.35%)
BALL,Ball Corporation,0.03%,-1.88,(-3.04%)
ESS,Essex Property Trust,0.03%,-4.49,(-1.79%)
AKAM,Akamai Technologies,0.03%,3.53,(3.34%)
VTRS,Viatris,0.03%,-0.11,(-0.80%)
