Symbol,Name,Weight,Price,Chg,% Chg
EA,Electronic Arts,0.08%,203.49,-0.02,(-0.01%)
D,Dominion Energy,0.08%,58.14,0.08,(0.14%)
EW,Edwards Lifesciences,0.08%,84.34,0.41,(0.49%)
ROP,Roper Technologies,0.08%,442.25,-0.03,(-0.01%)
GWW,W. W. Grainger,0.08%,995.33,-0.24,(-0.02%)
BKR,Baker Hughes,0.08%,47.87,-0.17,(-0.36%)
PSA,Public Storage,0.08%,269.02,1.4,(0.52%)
FAST,Fastenal,0.08%,40.98,0.05,(0.11%)
CAH,Cardinal Health,0.08%,197.52,-0.7,(-0.35%)
MPWR,Monolithic Power Systems,0.08%,977.87,-1.15,(-0.12%)
CBRE,CBRE Group,0.08%,156.63,-0.03,(-0.02%)
ROK,Rockwell Automation,0.08%,414.15,3.91,(0.95%)
OKE,ONEOK,0.07%,73.73,-0.05,(-0.07%)
AME,Ametek,0.07%,201.33,0.66,(0.33%)
AMP,Ameriprise Financial,0.07%,497.5,0.24,(0.05%)
DHI,D. R. Horton,0.07%,156.63,1.35,(0.87%)
DAL,Delta Air Lines,0.07%,69.8,-0.14,(-0.19%)
TTWO,Take-Two Interactive,0.07%,246.01,-0.01,(-0.00%)
FANG,Diamondback Energy,0.07%,158.15,-2.13,(-1.33%)
LVS,Las Vegas Sands,0.07%,66.52,0.05,(0.08%)
CARR,Carrier Global,0.07%,53.37,-0.03,(-0.07%)
CMG,Chipotle Mexican Grill,0.07%,33.9,-0.04,(-0.11%)
AXON,Axon Enterprise,0.07%,566.54,-1.85,(-0.33%)
XEL,Xcel Energy,0.07%,74.95,0.33,(0.44%)
CTVA,Corteva,0.07%,65.07,-0.03,(-0.05%)
EXC,Exelon,0.07%,43.6,0.31,(0.73%)
AIG,American International Group,0.07%,79.6,-1.48,(-1.83%)
TGT,Target Corporation,0.07%,94.29,-0.33,(-0.35%)
ETR,Entergy,0.07%,93.5,0.17,(0.18%)
FICO,Fair Isaac,0.07%,1755.83,3.59,(0.20%)
OXY,Occidental Petroleum,0.07%,41.4,-0.35,(-0.84%)
MSCI,MSCI,0.07%,540.09,1.9,(0.35%)
A,Agilent Technologies,0.07%,143.25,-0.22,(-0.15%)
PAYX,Paychex,0.07%,112.65,-0.23,(-0.21%)
GRMN,Garmin,0.07%,210.35,0.07,(0.03%)
PRU,Prudential Financial,0.06%,114.75,-0.01,(-0.01%)
YUM,Yum! Brands,0.06%,144.36,0.47,(0.33%)
CTSH,Cognizant,0.06%,83.04,-0.18,(-0.22%)
KDP,Keurig Dr Pepper,0.06%,29.47,-0.07,(-0.22%)
CCI,Crown Castle,0.06%,90.99,0.35,(0.39%)
KR,Kroger,0.06%,61.5,0.26,(0.42%)
PEG,Public Service Enterprise Group,0.06%,78.54,-0.15,(-0.20%)
VMC,Vulcan Materials Company,0.06%,295.92,-0.85,(-0.29%)
TRGP,Targa Resources,0.06%,182.13,-1.35,(-0.73%)
EL,Estée Lauder Companies (The),0.06%,106.77,-0.51,(-0.48%)
GEHC,GE HealthCare,0.06%,84.15,-0.32,(-0.38%)
XYZ,"Block, Inc.",0.06%,62.84,-0.45,(-0.72%)
IQV,IQVIA,0.06%,222.85,-0.07,(-0.03%)
CPRT,Copart,0.06%,39.18,-0.02,(-0.04%)
MLM,Martin Marietta Materials,0.06%,623.41,0.0,(0.00%)
NUE,Nucor,0.06%,163.82,-0.51,(-0.31%)
EBAY,eBay,0.06%,82.65,0.02,(0.03%)
WAB,Wabtec,0.06%,215.15,-0.43,(-0.20%)
MCHP,Microchip Technology,0.06%,67.83,-0.07,(-0.10%)
RMD,ResMed,0.06%,251.0,-0.5,(-0.20%)
KEYS,Keysight Technologies,0.06%,212.39,-0.39,(-0.18%)
HSY,Hershey Company (The),0.06%,179.18,-0.88,(-0.49%)
HIG,Hartford (The),0.06%,129.95,-0.3,(-0.23%)
FISV,"Fiserv, Inc.",0.06%,66.43,-0.14,(-0.22%)
STT,State Street Corporation,0.06%,127.81,-1.11,(-0.86%)
VTR,Ventas,0.06%,75.84,-1.89,(-2.43%)
EQT,EQT Corporation,0.06%,57.02,-0.23,(-0.40%)
SYY,Sysco,0.06%,73.81,0.24,(0.33%)
FIS,Fidelity National Information Services,0.06%,67.3,0.7,(1.05%)
UAL,United Airlines Holdings,0.06%,107.59,-0.16,(-0.14%)
CCL,Carnival,0.06%,26.35,0.07,(0.27%)
ED,Consolidated Edison,0.06%,95.43,0.02,(0.02%)
KMB,Kimberly-Clark,0.06%,103.28,0.14,(0.13%)
OTIS,Otis Worldwide,0.06%,87.81,-0.04,(-0.05%)
WEC,WEC Energy Group,0.05%,104.02,0.36,(0.35%)
EXPE,Expedia Group,0.05%,275.75,1.68,(0.61%)
XYL,Xylem Inc.,0.05%,138.64,0.18,(0.13%)
SNDK,Sandisk Corporation,0.05%,230.06,-2.81,(-1.20%)
ACGL,Arch Capital Group,0.05%,91.76,-0.01,(-0.01%)
KVUE,Kenvue,0.05%,17.31,-0.01,(-0.08%)
PCG,PG&E Corporation,0.05%,15.08,-0.01,(-0.03%)
HPE,Hewlett Packard Enterprise,0.05%,25.01,-0.25,(-0.99%)
ODFL,Old Dominion,0.05%,157.35,0.03,(0.02%)
RJF,Raymond James Financial,0.05%,166.95,0.0,(0.00%)
NRG,NRG Energy,0.05%,167.38,-0.78,(-0.47%)
IR,Ingersoll Rand,0.05%,80.75,-0.23,(-0.28%)
LYV,Live Nation Entertainment,0.05%,136.91,-1.91,(-1.38%)
TER,Teradyne,0.05%,202.2,-1.81,(-0.89%)
MTB,M&T Bank,0.05%,204.61,0.01,(0.00%)
FITB,Fifth Third Bancorp,0.05%,47.5,-0.05,(-0.11%)
HUM,Humana,0.05%,254.64,-2.03,(-0.79%)
SYF,Synchrony Financial,0.05%,83.94,-0.61,(-0.72%)
WTW,Willis Towers Watson,0.05%,315.13,0.13,(0.04%)
VRSK,Verisk Analytics,0.05%,214.89,0.41,(0.19%)
