Symbol,Name,Weight,Chg,% Chg
KMI,Kinder Morgan,0.12%,0.07,(0.22%)
RCL,Royal Caribbean Group,0.12%,7.93,(2.98%)
CMI,Cummins,0.12%,-5.96,(-1.11%)
CSX,CSX Corporation,0.12%,-0.16,(-0.41%)
AEP,American Electric Power,0.12%,1.57,(1.19%)
CL,Colgate-Palmolive,0.12%,1.09,(1.24%)
EOG,EOG Resources,0.12%,-0.19,(-0.14%)
DASH,DoorDash,0.12%,1.38,(0.85%)
MDLZ,Mondelez International,0.12%,0.34,(0.63%)
CI,Cigna,0.12%,0.11,(0.04%)
PSX,Phillips 66,0.12%,0.81,(0.47%)
VLO,Valero Energy,0.12%,-2.4,(-1.02%)
RSG,Republic Services,0.11%,-1.44,(-0.64%)
AON,Aon,0.11%,4.84,(1.53%)
TDG,TransDigm Group,0.11%,-9.9,(-0.81%)
COR,Cencora,0.11%,-0.04,(-0.01%)
WBD,Warner Bros. Discovery,0.11%,-0.07,(-0.24%)
MPC,Marathon Petroleum,0.11%,-0.11,(-0.05%)
HLT,Hilton Worldwide,0.11%,0.78,(0.27%)
CRH,CRH plc,0.11%,0.85,(0.85%)
ROST,Ross Stores,0.11%,-2.22,(-1.06%)
HOOD,"Robinhood Markets, Inc.",0.11%,-1.89,(-2.48%)
LHX,L3Harris,0.11%,-0.4,(-0.11%)
SLB,Schlumberger,0.11%,-0.3,(-0.67%)
GM,General Motors,0.11%,-0.5,(-0.68%)
TRV,Travelers Companies (The),0.11%,2.36,(0.78%)
NSC,Norfolk Southern Railway,0.11%,-1.45,(-0.50%)
APD,Air Products,0.11%,1.11,(0.38%)
ELV,Elevance Health,0.11%,4.58,(1.59%)
SRE,Sempra,0.10%,2.09,(2.24%)
DLR,Digital Realty,0.10%,-0.43,(-0.24%)
FTNT,Fortinet,0.10%,-1.27,(-1.51%)
SPG,Simon Property Group,0.10%,0.42,(0.22%)
PCAR,Paccar,0.10%,-0.94,(-0.81%)
O,Realty Income,0.10%,0.3,(0.46%)
AZO,AutoZone,0.10%,-61.55,(-1.70%)
APO,Apollo Global Management,0.10%,1.11,(1.11%)
TEL,TE Connectivity,0.10%,1.1,(0.56%)
AFL,Aflac,0.09%,-0.27,(-0.24%)
OXY,Occidental Petroleum,0.09%,-1.28,(-2.20%)
D,Dominion Energy,0.09%,0.85,(1.35%)
TFC,Truist Financial,0.09%,0.34,(0.76%)
BKR,Baker Hughes,0.09%,-0.96,(-1.73%)
ALL,Allstate,0.09%,3.21,(1.57%)
VST,Vistra Corp.,0.09%,0.41,(0.25%)
OKE,ONEOK,0.09%,0.47,(0.55%)
AJG,Arthur J. Gallagher & Co.,0.09%,1.61,(0.79%)
CTVA,Corteva,0.09%,-1.17,(-1.46%)
TGT,Target Corporation,0.09%,0.7,(0.61%)
ADSK,Autodesk,0.09%,-0.38,(-0.15%)
COIN,Coinbase Global,0.09%,5.08,(2.63%)
PSA,Public Storage,0.09%,0.01,(0.01%)
CAH,Cardinal Health,0.09%,1.42,(0.65%)
FAST,Fastenal,0.09%,-0.17,(-0.38%)
EXC,Exelon,0.09%,0.78,(1.57%)
MPWR,Monolithic Power Systems,0.09%,12.59,(1.22%)
TRGP,Targa Resources,0.09%,0.71,(0.30%)
XEL,Xcel Energy,0.08%,1.13,(1.39%)
GWW,W. W. Grainger,0.08%,-11.12,(-1.03%)
FANG,Diamondback Energy,0.08%,2.41,(1.36%)
EA,Electronic Arts,0.08%,0.18,(0.09%)
AME,Ametek,0.08%,-0.4,(-0.19%)
ZTS,Zoetis,0.08%,0.14,(0.12%)
EW,Edwards Lifesciences,0.08%,-0.96,(-1.13%)
NDAQ,"Nasdaq, Inc.",0.08%,1.24,(1.48%)
NXPI,NXP Semiconductors,0.08%,0.46,(0.24%)
FIX,"Comfort Systems USA, Inc.",0.08%,-11.68,(-0.85%)
KEYS,Keysight Technologies,0.08%,-4.2,(-1.48%)
ETR,Entergy,0.08%,1.13,(1.08%)
CIEN,Ciena Corporation,0.08%,-0.2,(-0.06%)
F,Ford Motor Company,0.08%,-0.25,(-2.09%)
CARR,Carrier Global,0.08%,-0.93,(-1.65%)
KR,Kroger,0.08%,-0.11,(-0.14%)
URI,United Rentals,0.08%,-4.91,(-0.67%)
BDX,Becton Dickinson,0.08%,0.99,(0.62%)
IDXX,Idexx Laboratories,0.08%,-0.98,(-0.17%)
GRMN,Garmin,0.07%,-1.4,(-0.59%)
MET,MetLife,0.07%,-0.06,(-0.09%)
DDOG,Datadog,0.07%,-0.68,(-0.54%)
TER,Teradyne,0.07%,-0.93,(-0.32%)
YUM,Yum! Brands,0.07%,1.99,(1.26%)
HSY,Hershey Company (The),0.07%,1.62,(0.75%)
CMG,Chipotle Mexican Grill,0.07%,0.06,(0.20%)
CVNA,Carvana Co.,0.07%,4.22,(1.44%)
PEG,Public Service Enterprise Group,0.07%,1.41,(1.71%)
AIG,American International Group,0.07%,0.97,(1.27%)
ED,Consolidated Edison,0.07%,1.48,(1.31%)
PYPL,PayPal,0.07%,0.39,(0.89%)
VTR,Ventas,0.07%,0.45,(0.52%)
DHI,D. R. Horton,0.07%,2.84,(2.05%)
SYY,Sysco,0.07%,0.37,(0.43%)
AMP,Ameriprise Financial,0.07%,6.75,(1.53%)
EQT,EQT Corporation,0.07%,0.23,(0.35%)
EBAY,eBay,0.07%,0.26,(0.28%)
WAB,Wabtec,0.07%,-3.27,(-1.36%)
ROK,Rockwell Automation,0.07%,0.04,(0.01%)
PCG,PG&E Corporation,0.07%,0.21,(1.19%)
MSCI,MSCI,0.07%,9.93,(1.85%)
FITB,Fifth Third Bancorp,0.07%,0.78,(1.78%)
CBRE,CBRE Group,0.07%,2.73,(2.07%)
AXON,Axon Enterprise,0.07%,-6.01,(-1.20%)
TTWO,Take-Two Interactive,0.06%,-0.12,(-0.06%)
WEC,WEC Energy Group,0.06%,2.1,(1.82%)
DAL,Delta Air Lines,0.06%,0.01,(0.01%)
CCI,Crown Castle,0.06%,0.28,(0.33%)
HIG,Hartford (The),0.06%,1.43,(1.07%)
NUE,Nucor,0.06%,-1.54,(-0.93%)
LYV,Live Nation Entertainment,0.06%,-1.25,(-0.78%)
ODFL,Old Dominion,0.06%,1.43,(0.81%)
KDP,Keurig Dr Pepper,0.06%,0.25,(0.94%)
TPL,Texas Pacific Land Corporation,0.06%,-2.33,(-0.44%)
XYZ,"Block, Inc.",0.06%,0.41,(0.68%)
LVS,Las Vegas Sands,0.06%,0.0,(0.00%)
ROP,Roper Technologies,0.06%,1.61,(0.46%)
MLM,Martin Marietta Materials,0.06%,-1.19,(-0.20%)
WDAY,"Workday, Inc.",0.06%,-1.06,(-0.79%)
ADM,Archer Daniels Midland,0.06%,-0.16,(-0.22%)
VMC,Vulcan Materials Company,0.06%,1.75,(0.66%)
STT,State Street Corporation,0.06%,0.21,(0.17%)
RMD,ResMed,0.06%,0.26,(0.11%)
CCL,Carnival,0.06%,0.5,(2.09%)
KVUE,Kenvue,0.06%,0.2,(1.18%)
MCHP,Microchip Technology,0.06%,-0.56,(-0.90%)
ACGL,Arch Capital Group,0.06%,0.09,(0.09%)
PAYX,Paychex,0.05%,0.41,(0.45%)
KMB,Kimberly-Clark,0.05%,1.63,(1.67%)
